City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chokurdakh,RU,70.6333,147.9167,-23.84,92,75,10.38,broken clouds
80,Faanui,PF,-16.4833,-151.75,80.85,76,19,15.48,light rain
81,Touros,BR,-5.1989,-35.4608,77.9,80,92,7.11,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,81.07,69,99,14.2,overcast clouds
83,Tateyama,JP,34.9833,139.8667,48.47,71,98,6.53,overcast clouds
84,Provideniya,RU,64.3833,-173.3,-3.64,65,0,6.71,clear sky
85,Magistralnyy,RU,56.1725,107.4458,-20.33,100,69,1.95,broken clouds
86,Neftcala,AZ,39.3742,49.2472,38.66,95,100,2.33,overcast clouds
87,Ambilobe,MG,-13.2,49.05,72.93,92,93,2.62,overcast clouds
88,Yershov,RU,51.3513,48.2766,17.67,92,100,6.08,light snow
89,Atuona,PF,-9.8,-139.0333,78.24,77,3,17.36,clear sky
90,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,73,8.61,light rain
91,Bubaque,GW,11.2833,-15.8333,78.46,65,66,15.12,broken clouds
92,Kyren,RU,51.6828,102.1408,-5.1,91,82,1.01,broken clouds
93,Khandbari,NP,27.3747,87.2039,42.94,72,58,2.51,broken clouds
94,Forestville,US,38.8451,-76.875,34.2,58,0,5.75,clear sky
95,Isangel,VU,-19.55,169.2667,87.91,70,75,6.91,light rain
96,Severo-Kurilsk,RU,50.6789,156.125,24.89,86,95,37.47,light snow
97,Waldoboro,US,44.0954,-69.3756,29.43,87,100,10.65,overcast clouds
98,Celestun,MX,20.8667,-90.4,74.35,75,48,13.76,scattered clouds
99,Baicheng,CN,45.6167,122.8167,-2.78,85,4,5.55,clear sky
100,Upernavik,GL,72.7868,-56.1549,0.81,95,67,25.21,broken clouds
101,Itarema,BR,-2.9248,-39.9167,76.05,85,100,7.27,overcast clouds
102,Shimoda,JP,34.6667,138.95,44.1,58,98,5.08,overcast clouds
103,Zhigansk,RU,66.7697,123.3711,-32.42,100,53,3.18,broken clouds
104,Tukums,LV,56.9669,23.1553,36.75,98,100,7.78,overcast clouds
105,Liverpool,GB,53.4106,-2.9779,44.62,95,40,3.0,scattered clouds
106,Codrington,AU,-38.2667,141.9667,68.85,83,52,6.04,light rain
107,Zyryanka,RU,65.75,150.85,-29.85,96,100,5.48,overcast clouds
108,Kavaratti,IN,10.5669,72.642,78.87,72,57,10.6,broken clouds
109,Daman,IN,20.4167,72.85,64.83,50,0,8.79,clear sky
110,Evensk,RU,61.95,159.2333,19.54,82,100,37.92,overcast clouds
111,Sohag,EG,26.557,31.6948,43.68,56,0,6.11,clear sky
112,Khani,GE,41.9563,42.9566,24.37,82,59,6.26,broken clouds
113,Avarua,CK,-21.2078,-159.775,84.25,79,49,16.11,scattered clouds
114,Vardo,NO,70.3705,31.1107,26.69,89,100,9.04,light snow
115,Khatanga,RU,71.9667,102.5,5.49,77,97,16.64,overcast clouds
116,Lasa,IT,46.6166,10.7002,44.06,55,47,7.85,scattered clouds
117,Kodiak,US,57.79,-152.4072,36.91,87,100,13.8,light rain
118,Sambava,MG,-14.2667,50.1667,74.82,83,31,9.86,scattered clouds
119,Tiznit,MA,29.5833,-9.5,55.47,42,96,11.25,overcast clouds
120,Beringovskiy,RU,63.05,179.3167,5.74,95,100,3.53,overcast clouds
121,Meru,KE,0.0463,37.6559,57.85,78,39,4.14,scattered clouds
122,Barrow,US,71.2906,-156.7887,-16.58,76,0,8.05,clear sky
123,Pendleton,US,45.6721,-118.7886,36.05,81,100,0.0,overcast clouds
124,Leningradskiy,RU,69.3833,178.4167,-17.99,94,37,2.33,scattered clouds
125,Mackay,AU,-21.15,149.2,82.69,74,89,17.6,overcast clouds
126,Olinda,BR,-8.0089,-34.8553,82.13,74,0,4.61,moderate rain
127,Dhing,IN,26.4667,92.4667,55.33,64,2,4.76,clear sky
128,Waddan,LY,29.1614,16.139,44.82,56,65,3.58,broken clouds
129,Eyemouth,GB,55.8713,-2.0901,42.84,84,87,9.69,overcast clouds
130,Saryozek,KZ,44.3583,77.9753,13.41,73,1,4.63,clear sky
131,Fairbanks,US,64.8378,-147.7164,-6.39,73,100,3.44,overcast clouds
132,Ouesso,CG,1.6136,16.0517,69.28,36,90,1.52,overcast clouds
133,Cordele,US,31.9635,-83.7824,47.75,61,0,3.44,clear sky
134,Saint-Augustin,CA,51.226,-58.6502,-15.95,99,47,2.44,scattered clouds
135,Rocha,UY,-34.4833,-54.3333,63.99,66,46,5.48,scattered clouds
136,Tiksi,RU,71.6872,128.8694,-14.51,97,29,10.4,scattered clouds
137,Buckeye,US,33.3703,-112.5838,70.12,20,0,3.44,clear sky
138,Truro,GB,50.2653,-5.0544,43.56,91,23,3.74,few clouds
139,Templin,DE,53.1186,13.5022,42.71,86,90,21.74,overcast clouds
140,Yellowknife,CA,62.456,-114.3525,-5.28,84,40,3.44,scattered clouds
141,Upata,VE,8.0086,-62.3989,75.2,61,15,4.63,few clouds
142,Sirjan,IR,29.452,55.6814,45.39,64,2,10.04,clear sky
143,Havoysund,NO,70.9963,24.6622,23.88,83,100,15.59,light snow
144,Atar,MR,20.5169,-13.0499,65.93,36,100,5.37,overcast clouds
145,Iralaya,HN,15.0,-83.2333,76.91,79,5,8.9,clear sky
146,Margate,GB,51.3813,1.3862,44.31,85,24,3.0,few clouds
147,Esperance,AU,-33.8667,121.9,66.79,64,46,11.48,scattered clouds
148,Peremyshl,RU,54.2631,36.1606,19.96,93,98,11.54,snow
149,Neuquen,AR,-38.9516,-68.0591,82.29,26,0,8.05,clear sky
150,Vestmanna,FO,62.1564,-7.1664,40.12,81,75,14.97,broken clouds
151,Loukhi,RU,66.0764,33.0381,7.03,99,98,1.57,overcast clouds
152,Lagoa,PT,39.05,-27.9833,59.11,74,22,16.42,few clouds
153,Luderitz,NA,-26.6481,15.1594,67.59,74,0,22.17,clear sky
154,Nanortalik,GL,60.1432,-45.2371,12.88,76,60,10.96,broken clouds
155,Korem,ET,12.5058,39.5228,46.9,77,9,2.01,clear sky
156,Dashitou,CN,43.3067,128.5114,3.47,87,45,8.01,scattered clouds
157,Podolinec,SK,49.2587,20.536,34.92,94,100,5.17,overcast clouds
158,Tiarei,PF,-17.5333,-149.3333,82.42,76,14,17.81,light rain
159,Zhaotong,CN,27.3167,103.7167,30.33,96,100,6.73,overcast clouds
160,Port-Cartier,CA,50.0334,-66.8654,13.75,93,100,3.74,overcast clouds
161,Constitucion,CL,-35.3333,-72.4167,60.08,94,19,5.3,few clouds
162,Arman,RU,59.7,150.1667,2.17,81,100,14.45,overcast clouds
163,Castro,BR,-24.7911,-50.0119,65.64,93,100,0.98,overcast clouds
164,Kitoy,RU,52.6,103.9,-10.14,100,96,1.72,overcast clouds
165,Gamba,GA,-2.65,10.0,76.53,87,99,1.79,overcast clouds
166,Geraldton,AU,-28.7667,114.6,84.61,37,0,13.8,clear sky
167,Tungor,RU,53.3808,142.9564,-11.4,95,74,12.01,broken clouds
168,Peruibe,BR,-24.32,-46.9983,74.84,96,100,5.53,moderate rain
169,Trofors,NO,65.5333,13.4063,32.02,88,97,4.61,overcast clouds
170,Penzance,GB,50.1186,-5.5371,48.76,82,79,4.03,broken clouds
171,Sosva,RU,59.1766,61.8558,6.26,89,31,7.09,scattered clouds
172,Stryn,NO,61.9045,6.7226,38.98,98,100,5.57,snow
173,Mutis,CO,6.2262,-77.4044,78.21,84,90,1.63,overcast clouds
174,Nyurba,RU,63.2842,118.3319,-9.8,94,40,5.97,scattered clouds
175,Kerugoya,KE,-0.4989,37.2803,56.64,83,69,4.85,broken clouds
176,Mezen,RU,65.8522,44.24,10.33,95,100,6.96,overcast clouds
177,Yar-Sale,RU,66.8333,70.8333,1.27,98,100,6.46,overcast clouds
178,Caravelas,BR,-17.7125,-39.2481,76.08,87,2,5.41,clear sky
179,Sabha,LY,27.0377,14.4283,43.9,43,40,7.83,scattered clouds
180,Bhinmal,IN,25.0,72.25,54.55,33,0,6.87,clear sky
181,Berlevag,NO,70.8578,29.0864,26.83,88,100,7.29,overcast clouds
182,Lompoc,US,34.6391,-120.4579,68.77,47,0,13.8,clear sky
183,Abancay,PE,-13.6339,-72.8814,60.89,77,91,2.28,overcast clouds
184,Alyangula,AU,-13.8483,136.4192,85.87,79,100,10.36,moderate rain
185,Chernyshevskiy,RU,63.0128,112.4714,-12.46,96,98,6.67,overcast clouds
186,Kicevo,MK,41.5144,20.9633,27.37,82,29,4.14,scattered clouds
187,Longyearbyen,SJ,78.2186,15.6401,10.24,72,75,8.05,broken clouds
188,Yenangyaung,MM,20.4667,94.8833,62.02,69,5,1.57,clear sky
189,Carnarvon,AU,-24.8667,113.6333,78.87,73,40,4.61,scattered clouds
190,Paamiut,GL,61.994,-49.6678,2.62,88,57,10.63,broken clouds
191,Komsomolskiy,UZ,40.4272,71.7189,27.82,63,66,9.22,broken clouds
192,Oranjemund,NA,-28.55,16.4333,64.69,87,53,16.35,broken clouds
193,Talnakh,RU,69.4865,88.3972,4.21,93,100,16.31,light snow
194,Coihaique,CL,-45.5752,-72.0662,79.41,29,0,4.61,clear sky
195,Kawalu,ID,-7.3817,108.2082,74.48,91,100,1.03,overcast clouds
196,Batagay-Alyta,RU,67.8006,130.4114,-21.87,93,83,3.11,broken clouds
197,Innisfail,AU,-17.5333,146.0333,79.39,91,100,5.06,overcast clouds
198,Kosonsoy,UZ,41.2561,71.5508,23.56,20,49,5.91,scattered clouds
199,Aginskoye,RU,51.1,114.53,-14.15,98,13,5.86,few clouds
200,Tilichiki,RU,60.4667,166.1,26.78,81,100,31.41,light snow
201,Pulandian,CN,39.3953,121.9669,23.13,54,37,4.79,scattered clouds
202,Bozuyuk,TR,39.9078,30.0367,15.06,91,29,5.35,scattered clouds
203,Bontang,ID,0.1333,117.5,78.12,83,100,3.91,light rain
204,Naze,JP,28.3667,129.4833,59.92,80,92,9.28,overcast clouds
205,Manggar,ID,-2.8833,108.2667,78.62,82,100,7.05,overcast clouds
206,Gilroy,US,37.0058,-121.5683,69.48,34,0,0.0,clear sky
207,Mahebourg,MU,-20.4081,57.7,73.69,83,40,5.75,scattered clouds
208,Oudtshoorn,ZA,-33.5907,22.2014,64.76,82,25,2.95,scattered clouds
209,Teya,RU,60.3778,92.6267,-13.05,100,97,3.18,overcast clouds
210,Tommot,RU,58.9564,126.2925,-1.28,97,100,8.34,light snow
211,Sorong,ID,-0.8833,131.25,80.96,79,91,3.51,light rain
212,Pingliang,CN,35.5392,106.6861,19.92,88,100,5.5,overcast clouds
213,Kaitangata,NZ,-46.2817,169.8464,59.94,61,35,5.88,scattered clouds
214,Sinamar,PH,16.9,121.5667,73.85,89,92,2.44,overcast clouds
215,Guarapari,BR,-20.6667,-40.4975,78.89,84,8,13.58,clear sky
216,Taft,IR,31.7471,54.2088,53.55,30,0,6.91,clear sky
217,Ancud,CL,-41.8697,-73.8203,72.93,79,0,4.85,clear sky
218,Kruisfontein,ZA,-34.0033,24.7314,64.89,83,100,7.23,overcast clouds
