City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ostrovnoy,RU,2022-01-24 04:00:27,68.0531,39.5131,34.66,95,100,35.93
68,Hobart,AU,2022-01-24 04:00:21,-42.8794,147.3294,82.27,59,75,1.99
69,Port-Cartier,CA,2022-01-24 04:00:28,50.0334,-66.8654,8.74,81,89,11.03
70,Hermanus,ZA,2022-01-24 04:00:29,-34.4187,19.2345,68.9,91,98,6.91
71,Mariental,NA,2022-01-24 04:00:29,-24.6333,17.9667,69.48,49,54,6.04
72,Fuerte Olimpo,PY,2022-01-24 04:00:30,-21.0415,-57.8738,82.69,50,2,5.06
73,Nikolskoye,RU,2022-01-24 04:00:30,59.7035,30.7861,27.39,94,100,9.26
74,Bilibino,RU,2022-01-24 04:00:31,68.0546,166.4372,-28.7,98,100,4.03
75,Mildura,AU,2022-01-24 03:58:09,-34.2,142.15,94.96,18,100,9.22
76,Ardu,EE,2022-01-24 04:00:31,59.0986,25.3541,34.2,95,100,12.46
77,Yabrud,SY,2022-01-24 04:00:32,33.9674,36.6574,28.53,96,74,7.18
78,Avarua,CK,2022-01-24 03:57:37,-21.2078,-159.775,80.65,94,75,9.22
79,Shubarkuduk,KZ,2022-01-24 04:00:33,49.1447,56.4872,0.86,86,13,9.91
80,Meadow Lake,US,2022-01-24 04:00:22,34.8014,-106.5436,42.49,45,1,0.98
81,Aksarka,RU,2022-01-24 04:00:34,66.5606,67.7975,-1.86,100,87,9.98
82,Longyearbyen,SJ,2022-01-24 03:59:53,78.2186,15.6401,8.8,95,77,3.71
83,Port Elizabeth,ZA,2022-01-24 04:00:15,-33.918,25.5701,68.29,73,0,4.61
84,Geraldton,AU,2022-01-24 03:58:01,-28.7667,114.6,86.41,48,0,18.41
85,Severo-Kurilsk,RU,2022-01-24 04:00:35,50.6789,156.125,26.37,74,92,11.63
86,Najran,SA,2022-01-24 04:00:36,17.4924,44.1277,54.64,49,10,1.28
87,Visconde Do Rio Branco,BR,2022-01-24 04:00:36,-21.0103,-42.8406,73.81,49,22,1.19
88,Merrill,US,2022-01-24 04:00:37,45.1805,-89.6835,4.89,68,100,0.0
89,Superior,US,2022-01-24 04:00:02,46.7208,-92.1041,6.48,76,100,0.0
90,Aykhal,RU,2022-01-24 04:00:37,66.0,111.5,5.41,94,100,6.67
