City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,Mukono,UG,67.23,broken clouds,0.3533,32.7553,Vegas Motel
306,Tuatapere,NZ,66.81,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
308,Coquimbo,CL,63.23,scattered clouds,-29.9533,-71.3436,Hostel Del Puerto
309,Bathsheba,BB,74.01,few clouds,13.2167,-59.5167,Atlantis Hotel
311,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
316,Mitsamiouli,KM,79.27,scattered clouds,-11.3847,43.2844,Foyer ADM
318,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
319,Portland,US,51.57,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
320,Yei,SS,71.22,broken clouds,4.095,30.6779,City Link Hotel
322,Kuching,MY,77.22,mist,1.55,110.3333,The Ranee Boutique Suites
324,Whitianga,NZ,67.87,clear sky,-36.8333,175.7,Beachside Resort Whitianga
326,Nkan,GA,75.67,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
329,Xuddur,SO,70.47,broken clouds,4.1213,43.8894,Banjanay Hotel
332,Tomatlan,MX,79.74,broken clouds,19.9333,-105.25,El Salvial
335,Giddalur,IN,62.51,scattered clouds,15.35,78.9167,Shivaji Lodge
337,Victoria,HK,68.18,broken clouds,22.2855,114.1577,Mini Hotel Central
339,Biak,ID,78.35,overcast clouds,-0.9131,122.8766,Penginapan Kim
342,Bonito,BR,73.47,overcast clouds,-21.1211,-56.4819,Marruá Hotel
343,Dhidhdhoo,MV,78.98,scattered clouds,6.8833,73.1,Dhidhoo beach
344,Bilma,NE,56.46,clear sky,18.6853,12.9164,Expeditions Ténére voyages
345,Santiago,CL,73.17,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
353,Praia,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
355,Marsabit,KE,66.4,overcast clouds,2.3284,37.9899,Chicho Hotel
356,Alappuzha,IN,74.79,broken clouds,9.49,76.3264,Panoramic Sea Resort
359,Camacha,PT,55.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
360,Melilla,ES,57.58,clear sky,35.2937,-2.9383,Hotel Anfora
361,Demba,CD,68.13,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
363,Chahal,GT,69.55,broken clouds,15.75,-89.5667,HOTEL MY WONDERFUL DAYS
365,Benguela,AO,78.55,light rain,-12.5763,13.4055,Hotel Praia Morena
366,Pemangkat,ID,78.55,overcast clouds,1.1667,108.9667,Ramah Kost KITA
367,Matara,LK,71.71,few clouds,5.9485,80.5353,Amaloh Boutique Resort
368,Laguna,US,66.04,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
372,Acarau,BR,76.23,overcast clouds,-2.8856,-40.12,castelo pizzaria
374,Auki,SB,78.48,overcast clouds,-8.7676,160.7034,Auki Motel
375,Ndioum,SN,73.29,clear sky,16.5129,-14.6471,l'hôtel samassa
382,Jibuti,DJ,69.22,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
384,Pimentel,PE,70.81,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
385,Jardim,BR,75.22,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
388,Misratah,LY,53.56,scattered clouds,32.3754,15.0925,Almasa Hotel
390,Ailigandi,PA,78.35,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
392,Hirara,JP,71.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
395,Douala,CM,76.91,broken clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
